MW_Ver_ec,"MW,Ver","MW,ec","Ver,ec",MW,Ver,ec
ABBBBBC,,BAAAAAD,,,,ABBBBBA
ABBBBBD,,ADDDDDB,,,,
ACCCCCA,,DBBBBBA,,,,
,,BCCCCCA,,,,
,,DBBBBBC,,,,
,,CDDDDDB,,,,
,,BDDDDDC,,,,
,,DBBBBBD,,,,
,,DCCCCCB,,,,
,,CAAAAAD,,,,
,,CDDDDDA,,,,
,,BDDDDDB,,,,
,,BAAAAAB,,,,
,,CAAAAAC,,,,
,,ACCCCCD,,,,
,,CBBBBBC,,,,
,,BCCCCCB,,,,
,,BAAAAAC,,,,
,,CAAAAAB,,,,
,,DCCCCCD,,,,
,,CDDDDDC,,,,
,,ADDDDDC,,,,
,,ACCCCCB,,,,
,,CBBBBBD,,,,
,,BCCCCCD,,,,
,,DCCCCCA,,,,
,,BDDDDDA,,,,
,,CBBBBBA,,,,
,,DAAAAAD,,,,
,,DAAAAAB,,,,
,,DAAAAAC,,,,
,,ADDDDDA,,,,
